"observed_scientific_name","valid_scientific_name","rank","vernacular_fr","kingdom","phylum","class","order","family","genus","species"
"Cryptacanthodes maculatus","Cryptacanthodes maculatus","species","Terrassier tacheté","Animalia","Chordata","Teleostei","Perciformes","Cryptacanthodidae","Cryptacanthodes","Cryptacanthodes maculatus"
"Lumpenus lampretaeformis","Lumpenus lampretaeformis","species","Lompénie-serpent","Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Lumpenus","Lumpenus lampretaeformis"
"Osmerus mordax","Osmerus mordax","species","Éperlan arc-en-ciel","Animalia","Chordata","Teleostei","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax"
"Apeltes quadracus","Apeltes quadracus","species","Épinoche à quatre épines","Animalia","Chordata","Teleostei","Gasterosteiformes","Gasterosteidae","Apeltes","Apeltes quadracus"
"Lithobates palustris","Lithobates palustris","species","Grenouille des marais","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates palustris"
"Notophthalmus viridescens","Notophthalmus viridescens","species","Triton vert","Animalia","Chordata","Amphibia","Caudata","Salamandridae","Notophthalmus","Notophthalmus viridescens"
"Cygnus columbianus","Cygnus columbianus","species","Cygne siffleur","Animalia","Chordata","Aves","Anseriformes","Anatidae","Cygnus","Cygnus columbianus"
"Sterna dougallii dougallii","Sterna dougallii dougallii","subspecies","","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna dougallii"
"Sterna dougallii","Sterna dougallii","species","Sterne de dougall","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna dougallii"
"Sterna hirundo","Sterna hirundo","species","Sterne pierregarin","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna hirundo"
"Sterna hirundo hirundo","Sterna hirundo hirundo","subspecies","","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna hirundo"
"Sterna paradisaea","Sterna paradisaea","species","Sterne arctique","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna paradisaea"
"Eumesogrammus praecisus","Eumesogrammus praecisus","species","Quatre-lignes Atlantique","Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Eumesogrammus","Eumesogrammus praecisus"
"Acipenser oxyrinchus","Acipenser","genus","","Animalia","Chordata","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser","Acipenser oxyrinchus"
"Acipenser oxyrinchus oxyrinchus","Acipenser oxyrinchus","species","Esturgeon noir","Animalia","Chordata","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser","Acipenser oxyrinchus"
"Liopsetta putnami","Liopsetta putnami","species","Plie lisse","Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Liopsetta","Pleuronectes putnami"
"Alopias vulpinus","Alopias vulpinus","species","Renard marin","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias","Alopias vulpinus"
"Lithobates pipiens","Lithobates pipiens","species","Grenouille léopard","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates pipiens"
"Lithobates sylvaticus","Lithobates sylvaticus","species","Grenouille des bois","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates sylvaticus"
"Pseudacris crucifer","Pseudacris crucifer","species","Rainette crucifère","Animalia","Chordata","Amphibia","Anura","Hylidae","Pseudacris","Pseudacris crucifer"
"Dryophytes versicolor","Dryophytes versicolor","species","","Animalia","Chordata","Amphibia","Anura","Hylidae","Dryophytes","Dryophytes versicolor"
"Anaxyrus americanus","Anaxyrus americanus","species","Crapaud d'amérique","Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","Anaxyrus americanus"
"Lithobates clamitans","Lithobates clamitans","species","","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates clamitans"
"Lithobates catesbeianus","Lithobates catesbeianus","species","Grenouille-taureau","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates catesbeianus"
"Delphinapterus leucas","Delphinapterus leucas","species","Béluga","Animalia","Chordata","Mammalia","Cetacea","Monodontidae","Delphinapterus","Delphinapterus leucas"
"Acipenser brevirostrum","Acipenser","genus","Esturgeon à museau court","Animalia","Chordata","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser","Acipenser brevirostrum"
"Acipenser fulvescens","Acipenser fulvescens","species","Esturgeon jaune","Animalia","Chordata","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser","Acipenser fulvescens"
"Falco peregrinus anatum","Falco peregrinus anatum","subspecies","","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco","Falco peregrinus"
"Falco peregrinus","Falco peregrinus","species","Faucon pèlerin","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco","Falco peregrinus"
"Desmognathus fuscus fuscus","Desmognathus fuscus","species","","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Desmognathus","Desmognathus fuscus"
"Desmognathus fuscus","Desmognathus fuscus","species","","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Desmognathus","Desmognathus fuscus"
"Eubalaena glacialis","Eubalaena glacialis","species","Baleine noire","Animalia","Chordata","Mammalia","Cetacea","Balaenidae","Eubalaena","Eubalaena glacialis"
"Carcharodon carcharias","Carcharodon carcharias","species","Requin blanc","Animalia","Chordata","Elasmobranchii","Lamniformes","Lamnidae","Carcharodon","Carcharodon carcharias"
"Ammodytes dubius","Ammodytes dubius","species","Lançon du Nord","Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes","Ammodytes dubius"
"Amblyraja radiata","Amblyraja radiata","species","Raie épineuse","Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Amblyraja","Amblyraja radiata"
"Alosa sapidissima","Alosa sapidissima","species","Alose savoureuse","Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Alosa","Alosa sapidissima"
"Alosa pseudoharengus","Alosa pseudoharengus","species","Gaspareau","Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Alosa","Alosa pseudoharengus"
"Anarhichas minor","Anarhichas minor","species","Loup tacheté","Animalia","Chordata","Teleostei","Perciformes","Anarhichadidae","Anarhichas","Anarhichas minor"
"Anarhichas lupus","Anarhichas lupus","species","Loup Atlantique","Animalia","Chordata","Teleostei","Perciformes","Anarhichadidae","Anarhichas","Anarhichas lupus"
"Anarhichas denticulatus","Anarhichas denticulatus","species","Loup gélatineux","Animalia","Chordata","Teleostei","Perciformes","Anarhichadidae","Anarhichas","Anarhichas denticulatus"
"Artediellus uncinatus","Artediellus uncinatus","species","Hameçon neigeux","Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Artediellus","Artediellus uncinatus"
"Centroscyllium fabricii","Centroscyllium fabricii","species","Aiguillat noir","Animalia","Chordata","Elasmobranchii","Squaliformes","Etmopteridae","Centroscyllium","Centroscyllium fabricii"
"Boreogadus saida","Boreogadus saida","species","Saida franc","Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Boreogadus","Boreogadus saida"
"Aspidophoroides monopterygius","Aspidophoroides monopterygius","species","Poisson-alligator Atlantique","Animalia","Chordata","Teleostei","Scorpaeniformes","Agonidae","Aspidophoroides","Aspidophoroides monopterygius"
"Cottunculus microps","Cottunculus microps","species","Cotte polaire","Animalia","Chordata","Teleostei","Scorpaeniformes","Psychrolutidae","Cottunculus","Cottunculus microps"
"Clupea harengus","Clupea harengus","species","Hareng Atlantique","Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Clupea","Clupea harengus"
"Enchelyopus cimbrius","Enchelyopus cimbrius","species","Motelle à quatre barbillons","Animalia","Chordata","Teleostei","Gadiformes","Lotidae","Enchelyopus","Enchelyopus cimbrius"
"Cyclopterus lumpus","Cyclopterus lumpus","species","Grosse poule de mer","Animalia","Chordata","Teleostei","Scorpaeniformes","Cyclopteridae","Cyclopterus","Cyclopterus lumpus"
"Nezumia bairdii","Nezumia bairdii","species","","Animalia","Chordata","Teleostei","Gadiformes","Macrouridae","Nezumia","Nezumia bairdii"
"Ardenna gravis","Puffinus gravis","species","Puffin majeur","Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Puffinus","Puffinus gravis"
"Myxine glutinosa","Myxine glutinosa","species","Myxine du Nord","Animalia","Chordata","Myxini","Myxiniformes","Myxinidae","Myxine","Myxine glutinosa"
"Myoxocephalus scorpius","Myoxocephalus scorpius","species","Chaboisseau à épines courtes","Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Myoxocephalus","Myoxocephalus scorpius"
"Myoxocephalus scorpioides","Myoxocephalus scorpioides","species","Chaboisseau arctique","Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Myoxocephalus","Myoxocephalus scorpioides"
"Myoxocephalus octodecemspinosus","Myoxocephalus octodecemspinosus","species","Chaboisseau à dix-huit épines","Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Myoxocephalus","Myoxocephalus octodecemspinosus"
"Merluccius bilinearis","Merluccius bilinearis","species","Merlu argenté","Animalia","Chordata","Teleostei","Gadiformes","Merlucciidae","Merluccius","Merluccius bilinearis"
"Melanostigma atlanticum","Melanostigma atlanticum","species","Mollasse Atlantique","Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Melanostigma","Melanostigma atlanticum"
"Melanogrammus aeglefinus","Melanogrammus aeglefinus","species","Aiglefin","Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Melanogrammus","Melanogrammus aeglefinus"
"Mallotus villosus","Mallotus villosus","species","Capelan","Animalia","Chordata","Teleostei","Osmeriformes","Osmeridae","Mallotus","Mallotus villosus"
"Malacoraja senta","Malacoraja senta","species","Raie à queue de velours","Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Malacoraja","Malacoraja senta"
"Lophius americanus","Lophius americanus","species","Baudroie d'amérique","Animalia","Chordata","Teleostei","Lophiiformes","Lophiidae","Lophius","Lophius americanus"
"Myzopsetta ferruginea","Limanda","genus","","Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Limanda","Limanda ferruginea"
"Leucoraja ocellata","Leucoraja ocellata","species","Raie tachetée","Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Leucoraja","Leucoraja ocellata"
"Leptoclinus maculatus","Leptoclinus maculatus","species","Lompénie tachetée","Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Leptoclinus","Leptoclinus maculatus"
"Leptagonus decagonus","Leptagonus decagonus","species","Agone Atlantique","Animalia","Chordata","Teleostei","Scorpaeniformes","Agonidae","Leptagonus","Leptagonus decagonus"
"Icelus spatula","Icelus gilberti","species","Icèle spatulée","Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Icelus","Icelus gilberti"
"Hippoglossus hippoglossus","Hippoglossus hippoglossus","species","Flétan Atlantique","Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Hippoglossus","Hippoglossus hippoglossus"
"Hippoglossoides platessoides","Hippoglossoides platessoides","species","Plie canadienne","Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Hippoglossoides","Hippoglossoides platessoides"
"Rissa tridactyla","Rissa tridactyla","species","Mouette tridactyle","Animalia","Chordata","Aves","Charadriiformes","Laridae","Rissa","Rissa tridactyla"
"Hemitripterus americanus","Hemitripterus americanus","species","Hémitriptère Atlantique","Animalia","Chordata","Teleostei","Scorpaeniformes","Hemitripteridae","Hemitripterus","Hemitripterus americanus"
"Gymnocanthus tricuspis","Gymnocanthus tricuspis","species","Tricorne arctique","Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Gymnocanthus","Gymnocanthus tricuspis"
"Gymnelus viridis","Gymnelus viridis","species","Unernak caméléon","Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Gymnelus","Gymnelus viridis"
"Glyptocephalus cynoglossus","Glyptocephalus cynoglossus","species","Plie grise","Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Glyptocephalus","Glyptocephalus cynoglossus"
"Gasterosteus aculeatus aculeatus","Gasterosteus aculeatus","species","","Animalia","Chordata","Teleostei","Gasterosteiformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus"
"Gasterosteus aculeatus","Gasterosteus aculeatus","species","Épinoche à trois épines","Animalia","Chordata","Teleostei","Gasterosteiformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus"
"Gadus morhua","Gadus morhua","species","Morue de l'atlantique","Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Gadus","Gadus morhua"
"Eumicrotremus spinosus","Eumicrotremus spinosus","species","Petite poule de mer Atlantique","Animalia","Chordata","Teleostei","Scorpaeniformes","Cyclopteridae","Eumicrotremus","Eumicrotremus spinosus"
"Zoarces americanus","Zoarces americanus","species","Loquette d'amérique","Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Zoarces","Zoarces americanus"
"Urophycis tenuis","Urophycis tenuis","species","Merluche blanche","Animalia","Chordata","Teleostei","Gadiformes","Phycidae","Urophycis","Urophycis tenuis"
"Ulvaria subbifurcata","Ulvaria subbifurcata","species","Ulvaire deux-lignes","Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Ulvaria","Ulvaria subbifurcata"
"Triglops murrayi","Triglops murrayi","species","Faux-trigle armé","Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Triglops","Triglops murrayi"
"Peprilus triacanthus","Peprilus triacanthus","species","Stromatée à fossettes","Animalia","Chordata","Teleostei","Perciformes","Stromateidae","Peprilus","Peprilus triacanthus"
"Careproctus reinhardti","Careproctus reinhardti","species","Petite limace de mer","Animalia","Chordata","Teleostei","Scorpaeniformes","Liparidae","Careproctus","Careproctus reinhardti"
"Tautogolabrus adspersus","Tautogolabrus adspersus","species","Tanche-tautogue","Animalia","Chordata","Teleostei","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus"
"Stichaeus punctatus punctatus","Stichaeus punctatus punctatus","subspecies","Stichée arctique","Animalia","Chordata","","Perciformes","Stichaeidae","Stichaeus","Stichaeus punctatus"
"Stichaeus punctatus","Stichaeus punctatus","species","Stichée arctique","Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Stichaeus","Stichaeus punctatus"
"Squalus acanthias","Squalus acanthias","species","Aiguillat commun","Animalia","Chordata","Chondrichthyes","Squaliformes","Squalidae","Squalus","Squalus acanthias"
"Scophthalmus aquosus","Scophthalmus aquosus","species","Turbot de sable","Animalia","Chordata","Teleostei","Pleuronectiformes","Scophthalmidae","Scophthalmus","Scophthalmus aquosus"
"Pseudacris triseriata","Pseudacris triseriata","species","Rainette faux-grillon de l'ouest","Animalia","Chordata","Amphibia","Anura","Hylidae","Pseudacris","Pseudacris triseriata"
"Scomber scombrus","Scomber scombrus","species","Maquereau bleu","Animalia","Chordata","Teleostei","Perciformes","Scombridae","Scomber","Scomber scombrus"
"Reinhardtius hippoglossoides","Reinhardtius hippoglossoides","species","Flétan du groenland","Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Reinhardtius","Reinhardtius hippoglossoides"
"Pseudopleuronectes americanus","Pseudopleuronectes americanus","species","Plie rouge","Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Pseudopleuronectes","Pseudopleuronectes americanus"
"Pollachius virens","Pollachius virens","species","Goberge","Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Pollachius","Pollachius virens"
"Phycis chesteri","Phycis chesteri","species","Merluche à longues nageoires","Animalia","Chordata","Teleostei","Gadiformes","Phycidae","Phycis","Phycis chesteri"
"Osmerus mordax mordax","Osmerus mordax mordax","subspecies","Eperlan d'amerique","Animalia","Chordata","Teleostei","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax"
"Microtus pennsylvanicus","Microtus pennsylvanicus","species","Campagnol des champs","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Microtus","Microtus pennsylvanicus"
"Zapus hudsonius","Zapus hudsonius","species","Souris sauteuse des champs","Animalia","Chordata","Mammalia","Rodentia","Dipodidae","Zapus","Zapus hudsonius"
"Phoca vitulina","Phoca vitulina","species","Phoque commun","Animalia","Chordata","Mammalia","Carnivora","Phocidae","Phoca","Phoca vitulina"
"Erethizon dorsata","Erethizon dorsatus","species","","Animalia","Chordata","Mammalia","Rodentia","Erethizontidae","Erethizon","Erethizon dorsatus"
"Pekania pennanti","Pekania pennanti","species","Pékan","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Pekania","Pekania pennanti"
"Peromyscus maniculatus","Peromyscus maniculatus","species","Souris sylvestre","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Peromyscus","Peromyscus maniculatus"
"Tamias striatus","Tamias striatus","species","Tamia rayé","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Tamias","Tamias striatus"
"Myodes gapperi","Myodes gapperi","species","Campagnol de gapper","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Myodes","Myodes gapperi"
"Anser caerulescens","Anser caerulescens","species","Oie des neiges","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anser","Anser caerulescens"
"Anser caerulescens caerulescens","Anser caerulescens caerulescens","subspecies","","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anser","Anser caerulescens"
"Histrionicus histrionicus","Histrionicus histrionicus","species","Arlequin plongeur","Animalia","Chordata","Aves","Anseriformes","Anatidae","Histrionicus","Histrionicus histrionicus"
"Chelydra serpentina","Chelydra serpentina","species","Chélydre serpentine","Animalia","Chordata","Testudines","Testudines","Chelydridae","Chelydra","Chelydra serpentina"
"Bathyraja spinicauda","Bathyraja spinicauda","species","Raie à queue épineuse","Animalia","Chordata","Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja","Bathyraja spinicauda"
"Sternotherus odoratus","Sternotherus odoratus","species","","Animalia","Chordata","Reptilia","Testudines","Kinosternidae","Sternotherus","Sternotherus odoratus"
"Chrysemys picta","Chrysemys picta","species","Tortue peinte","Animalia","Chordata","Testudines","Testudines","Emydidae","Chrysemys","Chrysemys picta"
"Graptemys geographica","Graptemys","genus","Tortue géographique","Animalia","Chordata","Reptilia","Testudines","Emydidae","Graptemys","Graptemys geographica"
"Emydoidea blandingii","Emydoidea blandingii","species","Tortue mouchetée","Animalia","Chordata","Reptilia","Testudines","Emydidae","Emys","Emydoidea blandingii"
"Merluccius albidus","Merluccius albidus","species","Merlu","Animalia","Chordata","Teleostei","Gadiformes","Merlucciidae","Merluccius","Merluccius albidus"
"Citharichthys arctifrons","Citharichthys arctifrons","species","Plie du gulf stream","Animalia","Chordata","Teleostei","Pleuronectiformes","Paralichthyidae","Citharichthys","Citharichthys arctifrons"
"Leucoraja erinacea","Leucoraja erinacea","species","Raie-hérisson","Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Leucoraja","Leucoraja erinacea"
"Paralichthys oblongus","Paralichthys oblongus","species","Cardeau à quatre ocelles","Animalia","Chordata","Teleostei","Pleuronectiformes","Paralichthyidae","Hippoglossina","Hippoglossina oblonga"
"Notacanthus chemnitzii","Notacanthus chemnitzii","species","","Animalia","Chordata","Teleostei","Notacanthiformes","Notacanthidae","Notacanthus","Notacanthus chemnitzii"
"Ardenna grisea","Puffinus griseus","species","Puffin fuligineux","Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Puffinus","Puffinus griseus"
"Gadus macrocephalus","Gadus macrocephalus","species","Morue du Pacifique","Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Gadus","Gadus macrocephalus"
"Chlorophthalmus agassizi","Chlorophthalmus agassizi","species","Éperlan du large","Animalia","Chordata","Teleostei","Aulopiformes","Chlorophthalmidae","Chlorophthalmus","Chlorophthalmus agassizi"
"Helicolenus dactylopterus","Helicolenus dactylopterus","species","Rascasse du fond","Animalia","Chordata","Teleostei","Scorpaeniformes","Sebastidae","Helicolenus","Helicolenus dactylopterus"
"Synaphobranchus kaupii","Synaphobranchus kaupii","species","","Animalia","Chordata","Teleostei","Anguilliformes","Synaphobranchidae","Synaphobranchus","Synaphobranchus kaupii"
"Trachyrincus murrayi","Trachyrincus murrayi","species","Grenadier-scie","Animalia","Chordata","Teleostei","Gadiformes","Macrouridae","Trachyrincus","Trachyrincus murrayi"
"Argentina silus","Argentina silus","species","Grande argentine","Animalia","Chordata","Teleostei","Osmeriformes","Argentinidae","Argentina","Argentina silus"
"Urophycis chuss","Urophycis chuss","species","Merluche-écureuil","Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Urophycis","Urophycis chuss"
"Simenchelys parasitica","Simenchelys parasitica","species","Anguille a nez court","Animalia","Chordata","Teleostei","Anguilliformes","Synaphobranchidae","Simenchelys","Simenchelys parasitica"
"Uria aalge","Uria aalge","species","Guillemot marmette","Animalia","Chordata","Aves","Charadriiformes","Alcidae","Uria","Uria aalge"
"Antimora rostrata","Antimora rostrata","species","Antimore bleu","Animalia","Chordata","Teleostei","Gadiformes","Moridae","Antimora","Antimora rostrata"
"Anaxyrus fowleri","Anaxyrus fowleri","species","","Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","Anaxyrus fowleri"
"Artediellus atlanticus","Artediellus","genus","Hameçon Atlantique","Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Artediellus","Artediellus atlanticus"
